"artifact","field","locale","occurrences","scalar_utf8_bytes","types","source_candidates_not_usage_proof"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].variants.[].name","localized","581","11496","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/CompactEntityCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/EndgameEnemyCard.svelte;src/lib/components/endgame/EndgameOverviewCard.svelte;... 110 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].variants.[].type","mixed","579","5163","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/ChangelogModal.svelte;src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DescriptionText.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;... 174 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].variants.[].order","neutral","581","1143","number","src/lib/components/endgame/as/AsBossTraits.svelte;src/lib/components/endgame/mechanics/BuffOptionGroup.svelte;src/lib/components/SpecialEffectRelation.svelte;src/lib/domain/endgame-view.ts;src/lib/domain/endgame.ts;src/lib/domain/types.ts;src/lib/search/normalization.ts;src/lib/search/presentation.ts;... 23 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].variants.[].source","neutral","581","4816","string","src/lib/components/DetailArtwork.svelte;src/lib/components/DetailPage.svelte;src/lib/components/endgame/as/AsBossDossier.svelte;src/lib/components/enemy/EnemyDetailPage.svelte;src/lib/components/relic/RelicDetailPage.svelte;src/lib/components/relic/RelicIcon.svelte;src/lib/components/SemanticIconLabel.svelte;src/lib/content/changelog/index.ts;... 46 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].variants.[].progressionId","neutral","581","4734","string|null","src/lib/components/SkillCardPanel.svelte;src/lib/domain/types.ts;scripts/data/skills.ts;scripts/data/sync.ts;scripts/data/validate.ts;tests/unit/data.test.ts"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].variants.[].scalingParamIndexes.[]","neutral","772","772","number","src/lib/domain/types.ts;scripts/data/levelled.ts;scripts/data/skills.ts;scripts/data/sync.ts;scripts/data/text.ts;tests/unit/data.test.ts"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].variants.[].levels.[].level","neutral","6548","8659","number","src/lib/components/BaseStatsPanel.svelte;src/lib/components/DetailPage.svelte;src/lib/components/endgame/as/ApocalypticShadowNodeSection.svelte;src/lib/components/endgame/as/AsBossDossier.svelte;src/lib/components/endgame/as/AsBossTraits.svelte;src/lib/components/endgame/EndgameEnemyCard.svelte;src/lib/components/endgame/EndgameEnemyGrid.svelte;src/lib/components/endgame/EndgameNodeHeading.svelte;... 53 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].variants.[].levels.[].description","localized","6548","1714998","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/mechanics/BuffOptionTile.svelte;src/lib/components/endgame/mechanics/MechanicEntry.svelte;src/lib/components/endgame/mechanics/MechanicSectionCard.svelte;src/lib/components/endgame/modes/AnomalyArbitrationDetailContent.svelte;... 47 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].variants.[].levels.[].descriptionTokens.[].type","neutral","57542","442173","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/ChangelogModal.svelte;src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DescriptionText.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;... 174 candidate files"
"src/lib/generated/details/characters/*","profiles.base.skillCards.[].variants.[].levels.[].descriptionTokens.[].value","mixed","57542","1816986","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CompactEntityCard.svelte;src/lib/components/endgame/as/AsBossTraits.svelte;src/lib/components/endgame/EndgameModeNav.svelte;src/lib/components/endgame/EndgameOverviewCard.svelte;src/lib/components/endgame/EndgameSeasonCard.svelte;src/lib/components/endgame/mechanics/MechanicSectionCard.svelte;... 86 candidate files"
